variable,coef,std_err,t,p_value,ci_0.025,ci_0.975
const,23.0251,2.046,11.252,0.0,19.014,27.036
hour_of_day,0.2815,0.016,17.208,0.0,0.249,0.314
minute_of_hour,-0.1182,0.005,-22.382,0.0,-0.129,-0.108
day_of_week_num,-0.4959,0.077,-6.435,0.0,-0.647,-0.345
weekend_flag,-0.3401,1.42,-0.24,0.811,-3.123,2.442
public_holiday_flag,-3.3078,1.295,-2.554,0.011,-5.847,-0.769
month,-0.3254,0.027,-11.899,0.0,-0.379,-0.272
is_business_day,3.9701,1.4,2.836,0.005,1.227,6.713
cooling_degree,0.9433,0.087,10.849,0.0,0.773,1.114
heating_degree,1.497,0.08,18.636,0.0,1.34,1.654
demand_5min_ago,0.9104,0.002,537.337,0.0,0.907,0.914
demand_10min_ago,0.1909,0.002,97.077,0.0,0.187,0.195
demand_30min_ago,-0.0453,0.001,-35.001,0.0,-0.048,-0.043
demand_1hour_ago,-0.0685,0.001,-109.547,0.0,-0.07,-0.067
demand_24hours_ago,0.0032,0.0,19.89,0.0,0.003,0.004
demand_7days_ago,0.0015,0.0,9.997,0.0,0.001,0.002
temperature_vic_weighted,0.5068,0.077,6.591,0.0,0.356,0.658
