variable,coef,std_err,t,p_value,ci_lower_0.025,ci_upper_0.975
const,0.2780,0.015,18.495,0.000,0.248,0.307
RRP,0.0059,0.000,15.602,0.000,0.005,0.007
hour_of_day,0.3034,0.018,16.966,0.000,0.268,0.338
minute_of_hour,-0.1180,0.005,-22.410,0.000,-0.128,-0.108
day_of_week_num,-0.5424,0.077,-7.008,0.000,-0.694,-0.391
weekend_flag,-2.0409,1.436,-1.421,0.155,-4.855,0.774
public_holiday_flag,-5.8952,1.315,-4.484,0.000,-8.472,-3.318
month,-0.2303,0.035,-6.568,0.000,-0.299,-0.162
is_business_day,3.4917,1.416,2.465,0.014,0.716,6.267
temperature_melbourne,0.5166,0.116,4.453,0.000,0.289,0.744
humidity_melbourne,0.0469,0.022,2.100,0.036,0.003,0.091
wind_speed_melbourne,0.0291,0.023,1.268,0.205,-0.016,0.074
precipitation_melbourne,-0.0373,0.107,-0.347,0.728,-0.248,0.173
rainfall_melbourne,-0.0373,0.107,-0.347,0.728,-0.248,0.173
cloud_cover_melbourne,0.0002,0.004,0.062,0.951,-0.007,0.007
solar_radiation_melbourne,-0.0034,0.002,-1.856,0.063,-0.007,0.000
temperature_geelong,0.6371,0.116,5.495,0.000,0.410,0.864
humidity_geelong,0.0695,0.021,3.285,0.001,0.028,0.111
wind_speed_geelong,0.0538,0.024,2.259,0.024,0.007,0.100
precipitation_geelong,0.0950,0.129,0.735,0.462,-0.158,0.348
rainfall_geelong,0.0950,0.129,0.735,0.462,-0.158,0.348
cloud_cover_geelong,0.0035,0.004,0.991,0.322,-0.003,0.011
solar_radiation_geelong,-0.0016,0.002,-1.005,0.315,-0.005,0.002
temperature_ballarat,0.1349,0.132,1.022,0.307,-0.124,0.393
humidity_ballarat,-0.0937,0.020,-4.629,0.000,-0.133,-0.054
wind_speed_ballarat,-0.1446,0.030,-4.794,0.000,-0.204,-0.085
precipitation_ballarat,2.4213,5.604,0.432,0.666,-8.562,13.404
rainfall_ballarat,-1.8588,5.620,-0.331,0.741,-12.874,9.157
cloud_cover_ballarat,0.0087,0.004,2.474,0.013,0.002,0.016
solar_radiation_ballarat,-0.0048,0.002,-2.738,0.006,-0.008,-0.001
temperature_bendigo,0.4727,0.146,3.235,0.001,0.186,0.759
humidity_bendigo,0.0249,0.021,1.158,0.247,-0.017,0.067
wind_speed_bendigo,0.0591,0.035,1.704,0.088,-0.009,0.127
precipitation_bendigo,-118.4835,107.276,-1.104,0.269,-328.742,91.775
rainfall_bendigo,119.0097,107.286,1.109,0.267,-91.267,329.287
cloud_cover_bendigo,0.0104,0.004,2.880,0.004,0.003,0.017
solar_radiation_bendigo,-0.0085,0.002,-4.570,0.000,-0.012,-0.005
temperature_shepparton,-0.2457,0.104,-2.366,0.018,-0.449,-0.042
humidity_shepparton,-0.0971,0.018,-5.514,0.000,-0.132,-0.063
wind_speed_shepparton,-0.0568,0.028,-2.020,0.043,-0.112,-0.002
precipitation_shepparton,0.1726,0.109,1.582,0.114,-0.041,0.386
rainfall_shepparton,0.1726,0.109,1.582,0.114,-0.041,0.386
cloud_cover_shepparton,0.0030,0.003,0.903,0.366,-0.003,0.009
solar_radiation_shepparton,-0.0076,0.002,-4.676,0.000,-0.011,-0.004
temperature_mildura,0.1733,0.063,2.745,0.006,0.050,0.297
humidity_mildura,-0.0129,0.012,-1.112,0.266,-0.036,0.010
wind_speed_mildura,0.1746,0.023,7.445,0.000,0.129,0.221
precipitation_mildura,0.5205,0.155,3.362,0.001,0.217,0.824
rainfall_mildura,0.5205,0.155,3.362,0.001,0.217,0.824
cloud_cover_mildura,0.0204,0.003,7.773,0.000,0.015,0.026
solar_radiation_mildura,0.0173,0.001,14.750,0.000,0.015,0.020
temperature_warrnambool,0.2176,0.084,2.597,0.009,0.053,0.382
humidity_warrnambool,-0.0117,0.015,-0.769,0.442,-0.042,0.018
wind_speed_warrnambool,-0.1711,0.024,-7.202,0.000,-0.218,-0.125
precipitation_warrnambool,12.7671,18.682,0.683,0.494,-23.849,49.383
rainfall_warrnambool,-12.0992,18.698,-0.647,0.518,-48.746,24.547
cloud_cover_warrnambool,0.0042,0.003,1.366,0.172,-0.002,0.010
solar_radiation_warrnambool,0.0077,0.001,5.880,0.000,0.005,0.010
temperature_traralgon,0.7113,0.083,8.620,0.000,0.550,0.873
humidity_traralgon,-0.0265,0.016,-1.653,0.098,-0.058,0.005
wind_speed_traralgon,0.0383,0.018,2.121,0.034,0.003,0.074
precipitation_traralgon,0.0999,0.115,0.870,0.384,-0.125,0.325
rainfall_traralgon,0.0999,0.115,0.870,0.384,-0.125,0.325
cloud_cover_traralgon,-0.0026,0.003,-0.844,0.399,-0.009,0.003
solar_radiation_traralgon,-0.0076,0.001,-5.430,0.000,-0.010,-0.005
temperature_vic_avg,0.3272,0.013,25.147,0.000,0.302,0.353
humidity_vic_avg,-0.0126,0.002,-7.783,0.000,-0.016,-0.009
wind_speed_vic_avg,-0.0022,0.003,-0.730,0.465,-0.008,0.004
precipitation_vic_avg,-12.8055,13.187,-0.971,0.332,-38.652,13.040
rainfall_vic_avg,13.2378,13.188,1.004,0.316,-12.611,39.087
cloud_cover_vic_avg,0.0060,0.000,14.351,0.000,0.005,0.007
solar_radiation_vic_avg,-0.0011,8.52e-05,-12.504,0.000,-0.001,-0.001
cooling_degree,-0.9230,0.139,-6.633,0.000,-1.196,-0.650
heating_degree,3.7529,0.130,28.844,0.000,3.498,4.008
demand_5min_ago,0.9043,0.002,533.823,0.000,0.901,0.908
demand_10min_ago,0.1911,0.002,97.489,0.000,0.187,0.195
demand_30min_ago,-0.0416,0.001,-32.113,0.000,-0.044,-0.039
demand_1hour_ago,-0.0694,0.001,-110.036,0.000,-0.071,-0.068
demand_24hours_ago,0.0034,0.000,20.516,0.000,0.003,0.004
demand_7days_ago,0.0016,0.000,10.389,0.000,0.001,0.002
season_spring,-1.9370,0.340,-5.692,0.000,-2.604,-1.270
season_summer,-3.6266,0.321,-11.286,0.000,-4.256,-2.997
season_winter,5.8578,0.350,16.717,0.000,5.171,6.545
