variable,coef,std_err,t,p_value,ci_lower,ci_upper
const,12.7353,1.903,6.691,0.000,9.005,16.466
RRP,0.0061,0.000,16.151,0.000,0.005,0.007
hour_of_day,0.3167,0.018,18.095,0.000,0.282,0.351
minute_of_hour,-0.1179,0.005,-22.375,0.000,-0.128,-0.108
day_of_week_num,-0.5507,0.075,-7.316,0.000,-0.698,-0.403
public_holiday_flag,-4.1065,0.576,-7.124,0.000,-5.236,-2.977
month,-0.3538,0.029,-12.373,0.000,-0.410,-0.298
is_business_day,4.8254,0.336,14.350,0.000,4.166,5.484
temperature_melbourne,0.4942,0.111,4.463,0.000,0.277,0.711
humidity_melbourne,0.0635,0.022,2.914,0.004,0.021,0.106
wind_speed_melbourne,0.0489,0.023,2.164,0.030,0.005,0.093
temperature_geelong,0.4867,0.103,4.723,0.000,0.285,0.689
humidity_geelong,0.0432,0.018,2.386,0.017,0.008,0.079
wind_speed_geelong,0.0631,0.022,2.931,0.003,0.021,0.105
humidity_ballarat,-0.1167,0.013,-9.031,0.000,-0.142,-0.091
wind_speed_ballarat,-0.0713,0.027,-2.623,0.009,-0.125,-0.018
precipitation_ballarat,0.8584,0.256,3.353,0.001,0.357,1.360
cloud_cover_ballarat,0.0125,0.003,4.082,0.000,0.006,0.018
temperature_bendigo,0.5367,0.118,4.535,0.000,0.305,0.769
humidity_bendigo,0.0523,0.019,2.765,0.006,0.015,0.089
rainfall_bendigo,0.5547,0.239,2.322,0.020,0.087,1.023
cloud_cover_bendigo,0.0150,0.004,4.253,0.000,0.008,0.022
solar_radiation_bendigo,-0.0060,0.002,-2.865,0.004,-0.010,-0.002
temperature_shepparton,-0.4829,0.098,-4.943,0.000,-0.674,-0.291
humidity_shepparton,-0.0889,0.017,-5.283,0.000,-0.122,-0.056
wind_speed_shepparton,-0.0842,0.025,-3.416,0.001,-0.132,-0.036
cloud_cover_shepparton,0.0079,0.003,2.479,0.013,0.002,0.014
solar_radiation_shepparton,-0.0048,0.002,-2.722,0.006,-0.008,-0.001
wind_speed_mildura,0.1575,0.023,6.967,0.000,0.113,0.202
precipitation_mildura,0.4800,0.153,3.137,0.002,0.180,0.780
rainfall_mildura,0.4800,0.153,3.137,0.002,0.180,0.780
cloud_cover_mildura,0.0257,0.003,9.954,0.000,0.021,0.031
solar_radiation_mildura,0.0227,0.001,17.060,0.000,0.020,0.025
temperature_warrnambool,0.1743,0.062,2.813,0.005,0.053,0.296
wind_speed_warrnambool,-0.1412,0.023,-6.174,0.000,-0.186,-0.096
precipitation_warrnambool,0.7582,0.256,2.963,0.003,0.257,1.260
solar_radiation_warrnambool,0.0103,0.002,6.332,0.000,0.007,0.013
temperature_traralgon,0.5248,0.080,6.571,0.000,0.368,0.681
humidity_traralgon,-0.0564,0.016,-3.591,0.000,-0.087,-0.026
solar_radiation_traralgon,-0.0042,0.002,-2.461,0.014,-0.008,-0.001
solar_radiation_vic_avg,-0.0241,0.005,-4.568,0.000,-0.034,-0.014
heating_degree,2.9035,0.074,39.225,0.000,2.758,3.049
demand_5min_ago,0.9059,0.002,534.758,0.000,0.903,0.909
demand_10min_ago,0.1906,0.002,97.163,0.000,0.187,0.194
demand_30min_ago,-0.0434,0.001,-33.530,0.000,-0.046,-0.041
demand_1hour_ago,-0.0682,0.001,-108.498,0.000,-0.069,-0.067
demand_24hours_ago,0.0035,0.000,21.343,0.000,0.003,0.004
demand_7days_ago,0.0021,0.000,13.830,0.000,0.002,0.002
